Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
1,22,1,7,7,5,6,3,6,4,5,5,4,4,5
4,22,1,4,5,5,5,7,7,2,1,1,7,7,7
5,23,1,5,4,4,5,6,6,3,3,3,7,7,6
6,23,1,5,5,5,6,5,6,2,2,999,5,4,5
7,23,1,4,5,6,6,4,5,2,4,2,6,7,7
8,23,1,6,3,5,7,5,5,4,5,5,7,6,4
11,23,1,4,4,4,999,4,4,4,4,4,4,4,4
26,23,1,5,4,6,5,5,6,2,2,3,6,5,4
27,23,1,5,4,5,7,6,6,2,2,2,7,7,7
28,23,1,6,6,7,6,6,6,2,2,3,5,5,4
29,23,1,5,6,5,5,6,6,2,3,3,7,6,5
31,23,1,7,7,6,6,6,7,3,2,1,7,7,6
32,23,1,7,7,7,6,6,6,1,1,1,5,5,3
33,23,1,3,6,5,6,5,6,2,2,3,6,4,3
34,23,1,4,5,5,4,4,5,2,2,999,5,5,3
36,22,1,5,6,6,5,5,6,1,2,3,4,5,4
38,22,1,7,7,7,7,6,7,1,1,2,7,5,1
39,22,1,7,7,5,6,6,6,2,1,999,7,6,5
43,22,1,6,6,6,4,6,5,2,3,2,7,7,7
44,22,1,5,5,4,4,7,6,4,3,6,7,5,1
45,23,1,5,5,4,2,7,5,2,4,5,7,7,6
47,23,1,1,6,3,3,5,4,4,3,2,7,7,7
48,22,1,2,7,7,5,6,5,3,4,2,7,6,4
49,23,1,6,7,7,5,6,6,2,2,3,5,4,5
50,23,1,7,7,6,7,999,7,1,1,1,7,7,6
51,22,1,7,7,7,7,7,7,1,1,1,7,7,7
52,23,1,7,7,7,7,7,7,2,1,2,7,5,1
53,23,1,6,6,6,6,5,5,1,1,2,4,5,4
54,23,1,6,6,6,6,5,5,1,1,2,7,7,7
55,23,1,5,6,6,6,4,6,1,1,2,6,5,4
57,23,1,5,5,5,6,5,5,2,2,2,5,3,2
58,23,1,5,7,7,999,5,6,1,1,1,7,6,4
59,23,1,5,6,6,6,6,7,1,2,2,4,4,4
60,23,1,6,6,7,7,6,7,2,2,2,7,6,4
61,23,1,3,5,3,6,7,6,4,4,4,5,5,4
62,23,1,7,7,7,7,7,6,1,1,1,7,5,1
66,23,1,6,6,6,4,5,5,6,5,5,6,6,4
67,22,1,2,2,3,3,3,4,4,4,4,7,6,5
68,22,1,1,6,4,2,4,4,4,999,4,7,7,6
69,23,1,1,4,7,4,5,5,4,5,4,4,4,1
70,23,1,1,2,3,6,5,6,6,6,6,5,6,6
71,22,1,1,2,3,6,6,4,5,3,4,4,6,7
