,Num,Age,GENDER,PER1,PER2,PER3,RUM1,RUM2,RUM3,EX1,EX2,EX3,EX4
0,1,42,1,1,1.0,1,4,5.0,5.0,3.0,3.0,3.0,3.0
1,4,42,1,2,3.0,1,2,1.0,1.0,1.0,1.0,1.0,1.0
2,5,43,1,3,2.0,3,3,3.0,3.0,1.0,1.0,1.0,2.0
3,6,43,1,2,2.0,2,2,2.0,,2.0,2.0,2.0,2.0
4,7,43,1,4,4.0,4,2,4.0,2.0,2.0,3.0,1.0,1.0
5,8,43,1,4,3.0,3,4,5.0,5.0,3.0,3.0,3.0,3.0
6,11,43,1,4,4.0,4,4,4.0,4.0,3.0,3.0,3.0,3.0
7,26,43,1,3,2.0,2,2,2.0,3.0,1.0,1.0,1.0,1.0
8,27,43,1,2,3.0,2,2,2.0,2.0,2.0,3.0,2.0,2.0
9,28,43,1,6,2.0,3,2,2.0,3.0,1.0,1.0,1.0,1.0
10,29,43,1,1,1.0,1,2,3.0,3.0,2.0,2.0,2.0,2.0
11,30,43,1,3,1.0,1,3,2.0,2.0,,,,
12,31,43,1,3,1.0,1,3,2.0,1.0,1.0,1.0,1.0,2.0
13,32,43,1,6,6.0,6,1,1.0,1.0,2.0,1.0,4.0,2.0
14,33,43,1,3,4.0,3,2,2.0,3.0,1.0,1.0,1.0,1.0
15,34,43,1,1,1.0,1,2,2.0,,2.0,2.0,2.0,2.0
16,36,42,1,6,3.0,3,1,2.0,3.0,1.0,1.0,1.0,2.0
17,38,42,1,1,1.0,1,1,1.0,2.0,1.0,1.0,1.0,1.0
18,39,42,1,7,3.0,1,2,1.0,,4.0,1.0,1.0,1.0
19,43,42,1,2,2.0,2,2,3.0,2.0,2.0,1.0,1.0,1.0
20,44,42,1,3,3.0,3,4,3.0,6.0,3.0,4.0,3.0,4.0
21,45,43,1,2,3.0,3,2,4.0,5.0,1.0,1.0,1.0,1.0
22,47,43,1,6,4.0,4,4,3.0,2.0,1.0,1.0,1.0,1.0
23,48,42,1,7,1.0,1,3,4.0,2.0,1.0,1.0,1.0,1.0
24,49,43,1,2,1.0,1,2,2.0,3.0,5.0,5.0,5.0,5.0
25,50,43,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
26,51,42,1,1,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0
27,52,43,1,1,2.0,1,2,1.0,2.0,1.0,1.0,1.0,1.0
28,53,43,1,2,3.0,3,1,1.0,2.0,1.0,1.0,1.0,1.0
29,54,43,1,1,2.0,1,1,1.0,2.0,1.0,2.0,3.0,1.0
30,55,43,1,3,2.0,1,1,1.0,2.0,3.0,3.0,2.0,3.0
31,56,43,1,3,3.0,3,2,3.0,2.0,2.0,2.0,2.0,2.0
32,57,43,1,2,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0
33,58,43,1,2,,2,1,1.0,1.0,1.0,1.0,1.0,1.0
34,59,43,1,2,2.0,2,1,2.0,2.0,1.0,1.0,2.0,1.0
35,60,43,1,2,2.0,2,2,2.0,2.0,1.0,1.0,1.0,1.0
36,61,43,1,3,1.0,4,4,4.0,4.0,1.0,1.0,1.0,3.0
37,62,43,1,1,1.0,1,1,1.0,1.0,2.0,1.0,1.0,1.0
38,66,43,1,3,1.0,1,6,5.0,5.0,2.0,2.0,2.0,2.0
39,67,42,1,5,6.0,6,4,4.0,4.0,3.0,1.0,1.0,1.0
40,68,42,1,1,1.0,1,4,,4.0,1.0,1.0,1.0,1.0
41,69,43,1,7,4.0,7,4,5.0,4.0,1.0,1.0,1.0,1.0
42,70,43,1,6,5.0,5,6,6.0,6.0,3.0,4.0,3.0,4.0
43,71,42,1,4,6.0,2,5,3.0,4.0,1.0,1.0,1.0,1.0
