"X","Num","Age","GENDER","PER1","PER2","PER3","RUM1","RUM2","RUM3","EX1","EX2","EX3","EX4"
0,1,42,1,1,1,1,4,5,5,3,3,3,3
1,4,42,1,2,3,1,2,1,1,1,1,1,1
2,5,43,1,3,2,3,3,3,3,1,1,1,2
3,6,43,1,2,2,2,2,2,2,2,2,2,2
4,7,43,1,4,4,4,2,4,2,2,3,1,1
5,8,43,1,4,3,3,4,5,5,3,3,3,3
6,11,43,1,4,4,4,4,4,4,3,3,3,3
7,26,43,1,3,2,2,2,2,3,1,1,1,1
8,27,43,1,2,3,2,2,2,2,2,3,2,2
9,28,43,1,6,2,3,2,2,3,1,1,1,1
10,29,43,1,1,1,1,2,3,3,2,2,2,2
12,31,43,1,3,1,1,3,2,1,1,1,1,2
13,32,43,1,6,6,6,1,1,1,2,1,4,2
14,33,43,1,3,4,3,2,2,3,1,1,1,1
15,34,43,1,1,1,1,2,2,2,2,2,2,2
16,36,42,1,6,3,3,1,2,3,1,1,1,2
17,38,42,1,1,1,1,1,1,2,1,1,1,1
18,39,42,1,7,3,1,2,1,1.5,4,1,1,1
19,43,42,1,2,2,2,2,3,2,2,1,1,1
20,44,42,1,3,3,3,4,3,6,3,4,3,4
21,45,43,1,2,3,3,2,4,5,1,1,1,1
22,47,43,1,6,4,4,4,3,2,1,1,1,1
23,48,42,1,7,1,1,3,4,2,1,1,1,1
24,49,43,1,2,1,1,2,2,3,5,5,5,5
25,50,43,1,1,1,1,1,1,1,1,1,1,1
26,51,42,1,1,1,1,1,1,1,1,1,1,1
27,52,43,1,1,2,1,2,1,2,1,1,1,1
28,53,43,1,2,3,3,1,1,2,1,1,1,1
29,54,43,1,1,2,1,1,1,2,1,2,3,1
30,55,43,1,3,2,1,1,1,2,3,3,2,3
31,56,43,1,3,3,3,2,3,2,2,2,2,2
32,57,43,1,2,2,2,2,2,2,1,1,1,1
33,58,43,1,2,2,2,1,1,1,1,1,1,1
34,59,43,1,2,2,2,1,2,2,1,1,2,1
35,60,43,1,2,2,2,2,2,2,1,1,1,1
36,61,43,1,3,1,4,4,4,4,1,1,1,3
37,62,43,1,1,1,1,1,1,1,2,1,1,1
38,66,43,1,3,1,1,5,5,5,2,2,2,2
39,67,42,1,5,6,6,4,4,4,3,1,1,1
40,68,42,1,1,1,1,4,4,4,1,1,1,1
41,69,43,1,7,4,7,4,5,4,1,1,1,1
42,70,43,1,6,5,5,5,6,6,3,4,3,4
43,71,42,1,4,6,2,5,3,4,1,1,1,1
44,72,42,1,4,6,2,4,4,5,4,3,3,3
45,73,43,1,5,5,4,5,5,5,1,1,1,1
46,76,44,1,1,1,1,1,1,1,1,1,1,1
47,77,44,1,1,1,1,1,1,1,1,1,1,1
48,79,45,1,1,1,1,1,1,1,3,3,3,1
49,80,44,1,2,3,2,3,3,4,1,1,2,3
50,81,44,1,2,1,1,1,1,2,1,1,2,1
51,82,44,1,1,1,1,3,2,3,2,3,2,2
52,83,44,1,1,1,1,2,2,2,2,3,2,3
53,84,44,1,2,2,2,1,2,2,2,2,3,4
54,85,44,1,2,1,2,3,1,2,2,1,1,2
55,87,43,1,2,2,2,3,3,3,1,1,1,1
56,90,45,1,5,6,4,3,4,3,4,2,1,1
57,91,45,1,4,3,3,3,1,2,2,1,1,2
58,93,44,1,1,2,1,1,1,1,1,1,1,1
59,94,44,1,1,1,1,1,1,3,2,2,4,2
60,95,45,1,1,1,1,1,2,1,2,4,2,2
61,96,44,1,3,2,2,1,1,3,2,3,2,1
62,98,44,1,4,4,4,3,4,3,2,1,2,1
63,100,44,1,2,2,2,3,4,4,1,4,3,2
64,102,45,1,2,2,3,1,1,3,1,1,1,1
65,104,44,1,3,1,1,2,1,2,2,2,1,1
66,105,44,1,1,1,1,1,2,2,2,4,3,2
67,106,44,1,2,2,4,4,3,4,1,2,4,4
68,107,44,1,2,1,1,5,4,5,4,2,5,3
69,108,44,1,4,3,5,2,3,2,2,2,3,1
70,109,45,1,2,1,4,5,5,3,4,3,5,4
71,110,44,1,3,2,4,4,2,5,3,2,3,2
72,112,44,1,2,3,3,2,2,3,2,2,2,2
73,113,45,1,2,1,1,2,2,2,2,2,2,1
74,114,45,1,3,1,1,5,4,3,4,2,3,3
75,115,44,1,4,4,2,2,3,3,2,2,2,2
76,116,44,1,5,5,6,2,2,5,2,2,1,1
77,119,44,1,6,2,4,2,5,6,1,1,2,1
78,123,44,1,4,5,4,2,2,3,1,1,1,1
79,126,44,1,1,3,3,4,4,4,3,3,3,3
80,127,44,1,3,3,2,2,3,5,3,2,2,1
81,128,44,1,4,6,2,3,3,3,2,2,3,3
82,129,44,1,4,5,5,5,4,4,3,3,1,3
83,130,44,1,4,2,6,4,3,4,2,2,3,3
84,131,43,1,3,5,2,3,4,4,1,3,3,3
85,134,44,1,4,4,4,4,4,5,2,2,2,2
86,138,45,1,4,2,3,3,4,5,4,1,2,2
87,139,44,1,2,1,1,2,2,5,3,3,3,2
88,140,44,1,4,3,3,4,4,4,3,3,3,3
89,141,44,1,4,4,5,4,4,4,2,3,3,3
90,142,44,1,3,2,1,2,3,3,1,1,2,1
91,143,45,1,3,3,3,3,4,4,1,1,1,1
92,144,46,1,3,1,2,1,1,1,2,4,5,4
93,145,46,1,5,5,5,4,4,3,2,2,2,2
94,146,46,1,1,2,4,4,3,2,2,3,1,4
95,147,46,1,4,5,6,5,5,5,5,2,1,1
96,148,45,1,1,4,4,5,3,3,2,2,1,2
97,149,46,1,6,6,4,5,5,5,5,5,4,4
98,150,44,1,3,2,4,3,3,3,2,3,3,2
99,151,44,1,4,4,5,3,5,5,4,2,2,3
100,152,45,1,6,6,5,3,4,5,1,1,1,1
101,154,44,1,1,1,1,1,1,2,1,1,1,1
102,155,44,1,4,3,2,4,5,5,3,2,2,2
103,156,44,1,2,1,1,3,2,4,2,2,2,2
104,157,43,1,3,3,2,3,3,3,2,1,2,1
105,158,43,1,2,1,1,1,2,3,2,1,2,2
106,160,45,1,2,3,1,3,3,5,2,3,3,2
107,161,46,1,3,2,2,3,2,4,2,2,2,2
108,163,46,1,2,2,1,2,2,3,1,1,2,1
109,164,46,1,3,2,1,3,3,5,2,2,2,2
110,165,46,1,3,2,1,2,2,2,1,2,2,1
111,167,46,1,4,2,2,2,1,3,1,1,1,1
112,168,46,1,3,3,4,3,4,4,4,2,3,3
113,170,42,1,4,3,3,4,4,4,3,4,3,3
114,171,46,1,5,4,5,3,4,5,1,1,1,1
115,172,46,1,2,3,1,4,4,4,4,4,5,4
116,173,42,1,4,2,1,5,5,4,5,3,4,5
117,178,44,1,1,1,1,2,4,2,1,1,1,1
118,179,43,1,2,1,1,1,1,4,1,1,2,1
119,180,43,1,6,6,7,5,6,7,4,4,3,4
120,182,44,1,4,3,4,2,5,4,1,2,1,1
121,185,44,1,6,7,4,3,3,4,2,2,4,5
122,186,43,1,6,1,5,3,3,3,1,1,1,1
123,187,44,1,2,3,2,1,3,2,1,1,2,3
124,190,43,1,6,3,3,5,5,5,2,1,2,3
125,191,43,1,5,4,5,5,5,3,2,3,2,4
126,193,44,1,5,4,3,1,1,4,1,4,3,1
127,195,43,1,6,5,4,2,2,2,1,1,2,1
128,196,46,1,4,4,4,4,5,5,4,3,3,4
129,197,46,1,1,1,1,2,2,2,2,2,3,2
130,198,44,1,3,2,4,3,5,6,4,4,4,2
131,199,45,1,2,1,1,2,2,3,2,3,3,2
132,200,45,1,1,2,1,2,3,1,1,2,1,1
133,201,45,1,3,3,3,1,3,4,2,2,2,3
134,202,45,1,2,2,2,3,3,3,2,2,2,2
135,203,45,1,1,2,1,2,2,2,2,1,2,3
136,204,45,1,4,3,3,3,3,3,1,1,1,1
137,205,45,1,4,3,4,2,3,4,2,1,2,1
138,206,46,1,1,1,2,2,3,2,3,3,2,2
139,208,45,1,2,2,2,2,2,3,2,3,3,3
140,209,44,1,2,2,1,2,2,2,1,1,3,1
141,210,43,1,3,1,1,2,4,3,1,1,2,1
142,211,43,1,5,4,2,3,3,4,4,2,4,3
143,212,44,1,1,2,3,2,3,3,4,2,3,3
144,213,44,1,3,2,2,1,2,3,2,2,4,2
145,214,44,1,2,2,1,1,3,3,1,1,1,2
146,216,43,1,4,4,1,2,2,2,2,3,3,3
147,217,43,1,5,2,6,2,2,2,1,2,1,1
148,218,44,1,1,1,1,5,6,5,2,2,2,2
149,219,43,1,1,1,1,2,3,4,2,1,3,2
150,220,43,1,1,1,1,1,1,2,2,2,2,2
151,221,43,1,2,1,2,2,2,2,2,3,2,2
152,222,43,1,1,1,1,2,1,2,2,3,2,2
153,223,45,1,7,1,2,2,2,2,2,2,3,1
154,224,43,1,3,3,3,3,3,3,2,2,2,2
155,225,43,1,2,1,1,2,2,2,2,1,2,2
