,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
0,1,22.0,1,7.0,7,5.0,6.0,3.0,6,4,5.0,5.0,4,4.0,5
1,4,22.0,1,4.0,5,5.0,5.0,7.0,7,2,1.0,1.0,7,7.0,7
2,5,23.0,1,5.0,4,4.0,5.0,6.0,6,3,3.0,3.0,7,7.0,6
3,6,23.0,1,5.0,5,5.0,6.0,5.0,6,2,2.0,,5,4.0,5
4,7,23.0,1,4.0,5,6.0,6.0,4.0,5,2,4.0,2.0,6,7.0,7
5,8,23.0,1,6.0,3,5.0,7.0,5.0,5,4,5.0,5.0,7,6.0,4
6,11,23.0,1,4.0,4,4.0,,4.0,4,4,4.0,4.0,4,4.0,4
7,26,23.0,1,5.0,4,6.0,5.0,5.0,6,2,2.0,3.0,6,5.0,4
8,27,23.0,1,5.0,4,5.0,7.0,6.0,6,2,2.0,2.0,7,7.0,7
9,28,23.0,1,6.0,6,7.0,6.0,6.0,6,2,2.0,3.0,5,5.0,4
10,29,23.0,1,5.0,6,5.0,5.0,6.0,6,2,3.0,3.0,7,6.0,5
11,31,23.0,1,7.0,7,6.0,6.0,6.0,7,3,2.0,1.0,7,7.0,6
12,32,23.0,1,7.0,7,7.0,6.0,6.0,6,1,1.0,1.0,5,5.0,3
13,33,23.0,1,3.0,6,5.0,6.0,5.0,6,2,2.0,3.0,6,4.0,3
14,34,23.0,1,4.0,5,5.0,4.0,4.0,5,2,2.0,,5,5.0,3
15,36,22.0,1,5.0,6,6.0,5.0,5.0,6,1,2.0,3.0,4,5.0,4
16,38,22.0,1,7.0,7,7.0,7.0,6.0,7,1,1.0,2.0,7,5.0,1
17,39,22.0,1,7.0,7,5.0,6.0,6.0,6,2,1.0,,7,6.0,5
18,43,22.0,1,6.0,6,6.0,4.0,6.0,5,2,3.0,2.0,7,7.0,7
19,44,22.0,1,5.0,5,4.0,4.0,7.0,6,4,3.0,6.0,7,5.0,1
20,45,23.0,1,5.0,5,4.0,2.0,7.0,5,2,4.0,5.0,7,7.0,6
21,47,23.0,1,1.0,6,3.0,3.0,5.0,4,4,3.0,2.0,7,7.0,7
22,48,22.0,1,2.0,7,7.0,5.0,6.0,5,3,4.0,2.0,7,6.0,4
23,49,23.0,1,6.0,7,7.0,5.0,6.0,6,2,2.0,3.0,5,4.0,5
24,50,23.0,1,7.0,7,6.0,7.0,,7,1,1.0,1.0,7,7.0,6
25,51,22.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,7,7.0,7
26,52,23.0,1,7.0,7,7.0,7.0,7.0,7,2,1.0,2.0,7,5.0,1
27,53,23.0,1,6.0,6,6.0,6.0,5.0,5,1,1.0,2.0,4,5.0,4
28,54,23.0,1,6.0,6,6.0,6.0,5.0,5,1,1.0,2.0,7,7.0,7
29,55,23.0,1,5.0,6,6.0,6.0,4.0,6,1,1.0,2.0,6,5.0,4
30,57,23.0,1,5.0,5,5.0,6.0,5.0,5,2,2.0,2.0,5,3.0,2
31,58,23.0,1,5.0,7,7.0,,5.0,6,1,1.0,1.0,7,6.0,4
32,59,23.0,1,5.0,6,6.0,6.0,6.0,7,1,2.0,2.0,4,4.0,4
33,60,23.0,1,6.0,6,7.0,7.0,6.0,7,2,2.0,2.0,7,6.0,4
34,61,23.0,1,3.0,5,3.0,6.0,7.0,6,4,4.0,4.0,5,5.0,4
35,62,23.0,1,7.0,7,7.0,7.0,7.0,6,1,1.0,1.0,7,5.0,1
36,66,23.0,1,6.0,6,6.0,4.0,5.0,5,6,5.0,5.0,6,6.0,4
37,67,22.0,1,2.0,2,3.0,3.0,3.0,4,4,4.0,4.0,7,6.0,5
38,68,22.0,1,1.0,6,4.0,2.0,4.0,4,4,,4.0,7,7.0,6
39,69,23.0,1,1.0,4,7.0,4.0,5.0,5,4,5.0,4.0,4,4.0,1
40,70,23.0,1,1.0,2,3.0,6.0,5.0,6,6,6.0,6.0,5,6.0,6
41,71,22.0,1,1.0,2,3.0,6.0,6.0,4,5,3.0,4.0,4,6.0,7
42,72,22.0,1,1.0,3,4.0,5.0,6.0,5,4,4.0,5.0,5,5.0,4
43,73,23.0,1,6.0,6,5.0,5.0,5.0,5,5,5.0,5.0,6,5.0,6
44,76,24.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,7,5.0,1
45,77,24.0,1,7.0,7,7.0,7.0,7.0,7,1,1.0,1.0,6,3.0,2
46,79,25.0,1,7.0,7,7.0,7.0,7.0,6,1,1.0,1.0,7,6.0,3
47,80,23.57,1,3.0,4,5.0,6.0,5.0,5,3,3.0,4.0,7,7.0,7
48,81,24.0,1,7.0,7,7.0,6.0,6.0,7,1,1.0,2.0,7,6.0,4
49,82,24.0,1,6.0,7,6.0,7.0,6.0,6,3,2.0,3.0,5,5.0,5
50,83,24.0,2,6.0,5,4.0,7.0,7.0,7,2,2.0,2.0,5,5.0,5
51,84,24.0,2,7.0,6,6.0,6.0,5.0,5,1,2.0,2.0,6,4.0,1
52,85,24.0,2,6.0,5,5.0,6.0,7.0,6,3,1.0,2.0,7,7.0,7
53,87,23.0,2,6.0,5,5.0,7.0,5.0,6,3,3.0,3.0,4,4.0,1
54,90,25.0,2,5.0,7,6.0,6.0,5.0,5,3,4.0,3.0,4,5.0,4
55,91,25.0,2,6.0,5,5.0,7.0,7.0,7,3,1.0,2.0,7,7.0,7
56,93,24.0,2,6.0,6,6.0,5.0,6.0,6,1,1.0,1.0,5,5.0,4
57,94,23.57,2,7.0,7,7.0,7.0,5.0,6,1,1.0,3.0,3,5.0,5
58,95,25.0,1,7.0,7,7.0,7.0,7.0,6,1,2.0,1.0,7,6.0,3
