,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
0,1,22,1,7,7,5,6,3,6,4,5,5,4,4,5
1,4,22,1,4,5,5,5,7,7,2,1,1,7,7,7
2,5,23,1,5,4,4,5,6,6,3,3,3,7,7,6
3,6,23,1,5,5,5,6,5,6,2,2,2,5,4,5
4,7,23,1,4,5,6,6,4,5,2,4,2,6,7,7
5,8,23,1,6,3,5,7,5,5,4,5,5,7,6,4
6,11,23,1,4,4,4,4,4,4,4,4,4,4,4,4
7,26,23,1,5,4,6,5,5,6,2,2,3,6,5,4
8,27,23,1,5,4,5,7,6,6,2,2,2,7,7,7
9,28,23,1,6,6,7,6,6,6,2,2,3,5,5,4
10,29,23,1,5,6,5,5,6,6,2,3,3,7,6,5
11,31,23,1,7,7,6,6,6,7,3,2,1,7,7,6
12,32,23,1,7,7,7,6,6,6,1,1,1,5,5,3
13,33,23,1,3,6,5,6,5,6,2,2,3,6,4,3
14,34,23,1,4,5,5,4,4,5,2,2,2,5,5,3
15,36,22,1,5,6,6,5,5,6,1,2,3,4,5,4
16,38,22,1,7,7,7,7,6,7,1,1,2,7,5,1
17,39,22,1,7,7,5,6,6,6,2,1,1.5,7,6,5
18,43,22,1,6,6,6,4,6,5,2,3,2,7,7,7
19,44,22,1,5,5,4,4,7,6,4,3,6,7,5,1
20,45,23,1,5,5,4,2,7,5,2,4,5,7,7,6
21,47,23,1,1,6,3,3,5,4,4,3,2,7,7,7
22,48,22,1,2,7,7,5,6,5,3,4,2,7,6,4
23,49,23,1,6,7,7,5,6,6,2,2,3,5,4,5
24,50,23,1,7,7,6,7,7,7,1,1,1,7,7,6
25,51,22,1,7,7,7,7,7,7,1,1,1,7,7,7
26,52,23,1,7,7,7,7,7,7,2,1,2,7,5,1
27,53,23,1,6,6,6,6,5,5,1,1,2,4,5,4
28,54,23,1,6,6,6,6,5,5,1,1,2,7,7,7
29,55,23,1,5,6,6,6,4,6,1,1,2,6,5,4
30,57,23,1,5,5,5,6,5,5,2,2,2,5,3,2
31,58,23,1,5,7,7,5.5,5,6,1,1,1,7,6,4
32,59,23,1,5,6,6,6,6,7,1,2,2,4,4,4
33,60,23,1,6,6,7,7,6,7,2,2,2,7,6,4
34,61,23,1,3,5,3,6,7,6,4,4,4,5,5,4
35,62,23,1,7,7,7,7,7,6,1,1,1,7,5,1
36,66,23,1,6,6,6,4,5,5,6,5,5,6,6,4
37,67,22,1,2,2,3,3,3,4,4,4,4,7,6,5
38,68,22,1,1,6,4,2,4,4,4,4,4,7,7,6
39,69,23,1,1,4,7,4,5,5,4,5,4,4,4,1
40,70,23,1,1,2,3,6,5,6,6,6,6,5,6,6
41,71,22,1,1,2,3,6,6,4,5,3,4,4,6,7
42,72,22,1,1,3,4,5,6,5,4,4,5,5,5,4
43,73,23,1,6,6,5,5,5,5,5,5,5,6,5,6
44,76,24,1,7,7,7,7,7,7,1,1,1,7,5,1
45,77,24,1,7,7,7,7,7,7,1,1,1,6,3,2
46,79,25,1,7,7,7,7,7,6,1,1,1,7,6,3
47,80,23.57142857,1,3,4,5,6,5,5,3,3,4,7,7,7
48,81,24,1,7,7,7,6,6,7,1,1,2,7,6,4
49,82,24,1,6,7,6,7,6,6,3,2,3,5,5,5
50,83,24,2,6,5,4,7,7,7,2,2,2,5,5,5
51,84,24,2,7,6,6,6,5,5,1,2,2,6,4,1
52,85,24,2,6,5,5,6,7,6,3,1,2,7,7,7
53,87,23,2,6,5,5,7,5,6,3,3,3,4,4,1
54,90,25,2,5,7,6,6,5,5,3,4,3,4,5,4
55,91,25,2,6,5,5,7,7,7,3,1,2,7,7,7
56,93,24,2,6,6,6,5,6,6,1,1,1,5,5,4
57,94,23.57142857,2,7,7,7,7,5,6,1,1,3,3,5,5
58,95,25,1,7,7,7,7,7,6,1,2,1,7,6,3
59,96,23.57142857,1,6,6,5,7,6,6,1,1,3,6,6,5
60,98,23.57142857,1,2,2,2,5,3,4,3,4,3,4,5,4
61,100,24,1,4,7,6,6,5,5,3,4,4,4,6,7
62,102,25,1,5,5,5,5,5,6,1,1,3,6,6,4
63,104,24,1,5,6,6,6,5,6,2,1,2,6,6,6
64,105,24,1,6,7,5,5,4,6,1,2,2,5,4,1
65,106,24,1,5,6,6,4,6,5,4,3,4,4,5,4
66,107,24,1,4,6,5,5,5,5,5,4,5,5,4,6
67,108,24,1,5,6,6,5,5,6,2,3,2,6,6,6
68,109,25,1,6,6,5,4,4,5,5,5,3,6,5,6
69,110,24,1,6,4,5,4,4,5,4,2,5,3,3,3
70,112,24,1,5,7,7,6,6,6,2,2,3,6,6,6
71,113,25,2,6,6,6,6,5,6,2,2,2,6,5,4
72,114,25,2,5,5,5,4,4,5,5,4,3,4,3,1
73,115,24,2,6,4,3,6,7,6,2,3,3,4,4,5
74,116,24,2,5,6,6,6,6,6,2,2,5,6,6,6
75,119,23.57142857,2,2,6,6,6,6,6,2,5,6,7,7,7
76,123,24,2,5,5,5,4,5,5,2,2,3,6,6,4
